trip_id,day_of_week,destination,time_of_day,weather,trip_duration,item,item_importance,item_relevance,times_carried_before,previous_forget_count,forgot
7,Monday,Office,Morning,Cold,Long,Notebook,0.5,0.516,8,2,1
7,Monday,Office,Morning,Cold,Long,Phone,0.98,0.966,15,0,0
7,Monday,Office,Morning,Cold,Long,ID_Card,0.9,0.843,11,0,0
7,Monday,Office,Morning,Cold,Long,Keys,0.93,0.554,12,0,0
7,Monday,Office,Morning,Cold,Long,Charger,0.55,0.906,12,0,0
8,Friday,Shopping,Evening,Rainy,Medium,Keys,0.93,0.624,7,0,0
8,Friday,Shopping,Evening,Rainy,Medium,Wallet,0.95,0.99,13,0,0
9,Tuesday,Travel,Afternoon,Rainy,Medium,Keys,0.93,0.411,10,0,0
9,Tuesday,Travel,Afternoon,Rainy,Medium,Umbrella,0.35,0.903,18,3,1
9,Tuesday,Travel,Afternoon,Rainy,Medium,ID_Card,0.9,0.962,12,1,0
9,Tuesday,Travel,Afternoon,Rainy,Medium,Charger,0.55,0.851,15,1,0
9,Tuesday,Travel,Afternoon,Rainy,Medium,Wallet,0.95,0.833,15,0,0
9,Tuesday,Travel,Afternoon,Rainy,Medium,Phone,0.98,0.983,8,0,0
10,Monday,Shopping,Morning,Rainy,Short,Water_Bottle,0.45,0.29,13,0,1
10,Monday,Shopping,Morning,Rainy,Short,Phone,0.98,0.886,14,0,0
10,Monday,Shopping,Morning,Rainy,Short,Wallet,0.95,0.99,12,0,1
10,Monday,Shopping,Morning,Rainy,Short,Earphones,0.4,0.394,5,1,1
11,Thursday,College,Morning,Rainy,Medium,Laptop,0.8,0.817,9,0,1
11,Thursday,College,Morning,Rainy,Medium,Wallet,0.95,0.727,10,0,0
11,Thursday,College,Morning,Rainy,Medium,Phone,0.98,0.882,9,0,0
11,Thursday,College,Morning,Rainy,Medium,Notebook,0.5,0.834,15,2,0
11,Thursday,College,Morning,Rainy,Medium,Umbrella,0.35,0.816,12,2,1
11,Thursday,College,Morning,Rainy,Medium,ID_Card,0.9,0.99,13,0,0
11,Thursday,College,Morning,Rainy,Medium,Keys,0.93,0.601,12,0,1
11,Thursday,College,Morning,Rainy,Medium,Charger,0.55,0.781,23,0,1
12,Sunday,Office,Afternoon,Cold,Short,Wallet,0.95,0.731,14,1,0
12,Sunday,Office,Afternoon,Cold,Short,Notebook,0.5,0.495,7,1,0
12,Sunday,Office,Afternoon,Cold,Short,Keys,0.93,0.641,11,0,1
12,Sunday,Office,Afternoon,Cold,Short,Charger,0.55,0.905,14,3,0
12,Sunday,Office,Afternoon,Cold,Short,Earphones,0.4,0.438,10,0,1
12,Sunday,Office,Afternoon,Cold,Short,Laptop,0.8,0.845,18,1,0
13,Saturday,Family_Event,Evening,Sunny,Medium,Umbrella,0.35,0.131,4,2,1
13,Saturday,Family_Event,Evening,Sunny,Medium,Phone,0.98,0.756,17,0,0
13,Saturday,Family_Event,Evening,Sunny,Medium,Wallet,0.95,0.532,9,0,1
13,Saturday,Family_Event,Evening,Sunny,Medium,Keys,0.93,0.596,14,0,0
14,Saturday,Travel,Morning,Cloudy,Short,ID_Card,0.9,0.965,23,0,0
14,Saturday,Travel,Morning,Cloudy,Short,Laptop,0.8,0.557,17,1,0
14,Saturday,Travel,Morning,Cloudy,Short,Wallet,0.95,0.842,12,0,0
14,Saturday,Travel,Morning,Cloudy,Short,Phone,0.98,0.99,13,0,0
14,Saturday,Travel,Morning,Cloudy,Short,Keys,0.93,0.389,4,0,1
14,Saturday,Travel,Morning,Cloudy,Short,Charger,0.55,0.885,17,2,1
15,Saturday,Travel,Night,Sunny,Long,Charger,0.55,0.931,9,1,1
15,Saturday,Travel,Night,Sunny,Long,Wallet,0.95,0.982,14,0,0
15,Saturday,Travel,Night,Sunny,Long,Phone,0.98,0.914,9,0,0
16,Saturday,Travel,Evening,Cold,Short,Water_Bottle,0.45,0.485,8,3,0
16,Saturday,Travel,Evening,Cold,Short,Charger,0.55,0.929,14,0,0
16,Saturday,Travel,Evening,Cold,Short,Laptop,0.8,0.589,8,1,0
16,Saturday,Travel,Evening,Cold,Short,Umbrella,0.35,0.348,8,2,1
16,Saturday,Travel,Evening,Cold,Short,Earphones,0.4,0.561,4,0,1
16,Saturday,Travel,Evening,Cold,Short,Wallet,0.95,0.99,18,0,1
16,Saturday,Travel,Evening,Cold,Short,ID_Card,0.9,0.969,21,0,0
17,Thursday,Friends_House,Evening,Cloudy,Medium,Earphones,0.4,0.35,5,2,0
17,Thursday,Friends_House,Evening,Cloudy,Medium,Phone,0.98,0.79,13,0,0
17,Thursday,Friends_House,Evening,Cloudy,Medium,ID_Card,0.9,0.313,13,0,0
18,Monday,College,Morning,Rainy,Short,Charger,0.55,0.896,13,0,1
18,Monday,College,Morning,Rainy,Short,Phone,0.98,0.937,15,0,1
18,Monday,College,Morning,Rainy,Short,Laptop,0.8,0.921,14,1,1
18,Monday,College,Morning,Rainy,Short,Water_Bottle,0.45,0.585,15,4,1
18,Monday,College,Morning,Rainy,Short,Wallet,0.95,0.724,11,0,0
18,Monday,College,Morning,Rainy,Short,ID_Card,0.9,0.86,15,0,1
19,Saturday,Gym,Morning,Hot,Medium,Keys,0.93,0.46,5,0,0
19,Saturday,Gym,Morning,Hot,Medium,Earphones,0.4,0.913,11,1,0
19,Saturday,Gym,Morning,Hot,Medium,Umbrella,0.35,0.01,2,3,1
20,Thursday,Shopping,Evening,Cold,Medium,Wallet,0.95,0.99,11,0,0
20,Thursday,Shopping,Evening,Cold,Medium,Phone,0.98,0.742,15,0,0
20,Thursday,Shopping,Evening,Cold,Medium,ID_Card,0.9,0.454,10,0,0
21,Thursday,Office,Morning,Sunny,Short,Water_Bottle,0.45,0.504,11,0,1
21,Thursday,Office,Morning,Sunny,Short,Wallet,0.95,0.706,15,0,1
21,Thursday,Office,Morning,Sunny,Short,Earphones,0.4,0.459,13,0,0
21,Thursday,Office,Morning,Sunny,Short,ID_Card,0.9,0.815,9,0,0
22,Wednesday,Family_Event,Afternoon,Hot,Short,Wallet,0.95,0.531,8,0,0
22,Wednesday,Family_Event,Afternoon,Hot,Short,Charger,0.55,0.3,8,3,1
22,Wednesday,Family_Event,Afternoon,Hot,Short,Water_Bottle,0.45,0.583,11,0,0
23,Tuesday,Shopping,Evening,Cold,Short,Water_Bottle,0.45,0.31,9,0,1
23,Tuesday,Shopping,Evening,Cold,Short,Phone,0.98,0.817,7,0,0
23,Tuesday,Shopping,Evening,Cold,Short,ID_Card,0.9,0.502,9,0,0
23,Tuesday,Shopping,Evening,Cold,Short,Keys,0.93,0.589,12,0,0
23,Tuesday,Shopping,Evening,Cold,Short,Wallet,0.95,0.984,13,0,0
24,Sunday,Friends_House,Morning,Sunny,Short,Phone,0.98,0.816,15,0,0
24,Sunday,Friends_House,Morning,Sunny,Short,Water_Bottle,0.45,0.414,8,2,1
24,Sunday,Friends_House,Morning,Sunny,Short,Charger,0.55,0.412,10,0,1
25,Saturday,Family_Event,Evening,Hot,Long,Charger,0.55,0.323,9,3,0
25,Saturday,Family_Event,Evening,Hot,Long,Water_Bottle,0.45,0.641,8,1,1
26,Friday,Shopping,Night,Cloudy,Medium,Phone,0.98,0.914,11,0,0
26,Friday,Shopping,Night,Cloudy,Medium,Water_Bottle,0.45,0.304,7,5,1
26,Friday,Shopping,Night,Cloudy,Medium,Keys,0.93,0.626,12,0,0
26,Friday,Shopping,Night,Cloudy,Medium,Charger,0.55,0.166,7,0,0
26,Friday,Shopping,Night,Cloudy,Medium,Notebook,0.5,0.024,3,2,1
26,Friday,Shopping,Night,Cloudy,Medium,Earphones,0.4,0.284,4,0,1
27,Wednesday,Other,Evening,Rainy,Short,Keys,0.93,0.537,12,0,0
27,Wednesday,Other,Evening,Rainy,Short,Water_Bottle,0.45,0.405,9,2,1
27,Wednesday,Other,Evening,Rainy,Short,Notebook,0.5,0.187,2,4,0
27,Wednesday,Other,Evening,Rainy,Short,Phone,0.98,0.741,8,0,0
27,Wednesday,Other,Evening,Rainy,Short,Earphones,0.4,0.359,7,2,1
28,Saturday,Travel,Afternoon,Rainy,Long,Charger,0.55,0.895,17,3,1
28,Saturday,Travel,Afternoon,Rainy,Long,Wallet,0.95,0.878,11,1,0
28,Saturday,Travel,Afternoon,Rainy,Long,Notebook,0.5,0.233,4,1,1
28,Saturday,Travel,Afternoon,Rainy,Long,Laptop,0.8,0.594,9,0,0
28,Saturday,Travel,Afternoon,Rainy,Long,Umbrella,0.35,0.872,13,1,1
28,Saturday,Travel,Afternoon,Rainy,Long,Water_Bottle,0.45,0.523,9,3,1
28,Saturday,Travel,Afternoon,Rainy,Long,Earphones,0.4,0.586,9,0,1
28,Saturday,Travel,Afternoon,Rainy,Long,Phone,0.98,0.904,7,0,0
28,Saturday,Travel,Afternoon,Rainy,Long,Keys,0.93,0.363,8,0,1
28,Saturday,Travel,Afternoon,Rainy,Long,ID_Card,0.9,0.941,25,0,0
29,Thursday,Family_Event,Evening,Sunny,Short,Phone,0.98,0.82,19,0,1
29,Thursday,Family_Event,Evening,Sunny,Short,Umbrella,0.35,0.248,4,4,1
29,Thursday,Family_Event,Evening,Sunny,Short,Water_Bottle,0.45,0.361,6,0,1
29,Thursday,Family_Event,Evening,Sunny,Short,Wallet,0.95,0.677,11,0,1
30,Thursday,Office,Afternoon,Sunny,Medium,Laptop,0.8,0.877,10,3,1
30,Thursday,Office,Afternoon,Sunny,Medium,ID_Card,0.9,0.817,11,0,0
30,Thursday,Office,Afternoon,Sunny,Medium,Charger,0.55,0.776,8,3,0
30,Thursday,Office,Afternoon,Sunny,Medium,Phone,0.98,0.928,24,0,0
30,Thursday,Office,Afternoon,Sunny,Medium,Wallet,0.95,0.741,13,0,0
30,Thursday,Office,Afternoon,Sunny,Medium,Earphones,0.4,0.526,10,1,0
31,Thursday,Shopping,Evening,Sunny,Medium,Phone,0.98,0.788,20,0,0
32,Tuesday,Shopping,Evening,Sunny,Long,Phone,0.98,0.906,11,0,0
32,Tuesday,Shopping,Evening,Sunny,Long,Water_Bottle,0.45,0.462,6,2,0
32,Tuesday,Shopping,Evening,Sunny,Long,Wallet,0.95,0.976,22,0,0
32,Tuesday,Shopping,Evening,Sunny,Long,Keys,0.93,0.6,11,0,0
32,Tuesday,Shopping,Evening,Sunny,Long,Charger,0.55,0.213,6,1,1
32,Tuesday,Shopping,Evening,Sunny,Long,ID_Card,0.9,0.562,11,0,0
33,Monday,College,Evening,Rainy,Medium,Charger,0.55,0.805,12,1,1
33,Monday,College,Evening,Rainy,Medium,ID_Card,0.9,0.903,17,0,1
33,Monday,College,Evening,Rainy,Medium,Notebook,0.5,0.919,12,1,0
34,Thursday,Gym,Morning,Cloudy,Medium,ID_Card,0.9,0.131,5,0,0
34,Thursday,Gym,Morning,Cloudy,Medium,Earphones,0.4,0.812,17,1,0
34,Thursday,Gym,Morning,Cloudy,Medium,Keys,0.93,0.374,9,0,0
35,Sunday,Other,Morning,Sunny,Long,Keys,0.93,0.395,6,0,1
35,Sunday,Other,Morning,Sunny,Long,Earphones,0.4,0.307,8,0,1
35,Sunday,Other,Morning,Sunny,Long,Phone,0.98,0.757,13,0,0
35,Sunday,Other,Morning,Sunny,Long,Notebook,0.5,0.191,5,3,1
36,Monday,Travel,Morning,Rainy,Short,Wallet,0.95,0.97,17,0,0
36,Monday,Travel,Morning,Rainy,Short,Phone,0.98,0.918,6,0,0
36,Monday,Travel,Morning,Rainy,Short,Charger,0.55,0.919,12,2,0
36,Monday,Travel,Morning,Rainy,Short,ID_Card,0.9,0.976,15,0,0
36,Monday,Travel,Morning,Rainy,Short,Umbrella,0.35,0.951,13,0,0
36,Monday,Travel,Morning,Rainy,Short,Earphones,0.4,0.655,9,0,1
37,Sunday,College,Afternoon,Rainy,Long,Wallet,0.95,0.728,12,0,0
37,Sunday,College,Afternoon,Rainy,Long,Notebook,0.5,0.867,12,1,0
37,Sunday,College,Afternoon,Rainy,Long,Phone,0.98,0.849,16,0,0
37,Sunday,College,Afternoon,Rainy,Long,ID_Card,0.9,0.86,13,0,0
37,Sunday,College,Afternoon,Rainy,Long,Charger,0.55,0.9,15,1,0
37,Sunday,College,Afternoon,Rainy,Long,Laptop,0.8,0.922,7,1,1
38,Saturday,Office,Afternoon,Rainy,Long,Notebook,0.5,0.51,7,0,1
38,Saturday,Office,Afternoon,Rainy,Long,Wallet,0.95,0.752,16,0,1
38,Saturday,Office,Afternoon,Rainy,Long,Phone,0.98,0.923,12,0,0
38,Saturday,Office,Afternoon,Rainy,Long,Keys,0.93,0.551,9,0,1
38,Saturday,Office,Afternoon,Rainy,Long,ID_Card,0.9,0.804,12,0,0
38,Saturday,Office,Afternoon,Rainy,Long,Laptop,0.8,0.861,11,1,1
39,Tuesday,College,Afternoon,Cold,Long,Notebook,0.5,0.951,9,2,1
39,Tuesday,College,Afternoon,Cold,Long,ID_Card,0.9,0.849,11,1,0
39,Tuesday,College,Afternoon,Cold,Long,Phone,0.98,0.87,14,0,0
39,Tuesday,College,Afternoon,Cold,Long,Wallet,0.95,0.827,15,0,0
40,Friday,College,Afternoon,Cloudy,Short,ID_Card,0.9,0.884,9,1,0
40,Friday,College,Afternoon,Cloudy,Short,Phone,0.98,0.897,11,0,1
40,Friday,College,Afternoon,Cloudy,Short,Notebook,0.5,0.99,20,0,0
40,Friday,College,Afternoon,Cloudy,Short,Wallet,0.95,0.702,14,0,0
40,Friday,College,Afternoon,Cloudy,Short,Keys,0.93,0.621,10,0,0
41,Tuesday,Other,Evening,Hot,Short,Water_Bottle,0.45,0.628,5,1,0
41,Tuesday,Other,Evening,Hot,Short,Earphones,0.4,0.326,7,1,1
42,Saturday,Gym,Night,Sunny,Medium,Water_Bottle,0.45,0.9,10,0,1
42,Saturday,Gym,Night,Sunny,Medium,Charger,0.55,0.155,4,2,1
42,Saturday,Gym,Night,Sunny,Medium,Laptop,0.8,0.01,1,1,1
43,Friday,Office,Morning,Hot,Medium,Water_Bottle,0.45,0.823,14,0,0
43,Friday,Office,Morning,Hot,Medium,ID_Card,0.9,0.913,16,0,0
43,Friday,Office,Morning,Hot,Medium,Earphones,0.4,0.459,8,0,1
43,Friday,Office,Morning,Hot,Medium,Wallet,0.95,0.701,13,0,0
43,Friday,Office,Morning,Hot,Medium,Phone,0.98,0.901,16,0,1
44,Wednesday,Travel,Evening,Cold,Medium,Water_Bottle,0.45,0.445,10,1,0
44,Wednesday,Travel,Evening,Cold,Medium,Charger,0.55,0.903,12,1,1
44,Wednesday,Travel,Evening,Cold,Medium,ID_Card,0.9,0.973,17,0,0
44,Wednesday,Travel,Evening,Cold,Medium,Umbrella,0.35,0.361,7,0,1
44,Wednesday,Travel,Evening,Cold,Medium,Earphones,0.4,0.534,10,3,1
45,Monday,College,Evening,Hot,Long,ID_Card,0.9,0.905,10,0,0
45,Monday,College,Evening,Hot,Long,Notebook,0.5,0.888,18,0,1
45,Monday,College,Evening,Hot,Long,Phone,0.98,0.863,10,0,1
45,Monday,College,Evening,Hot,Long,Laptop,0.8,0.935,7,1,1
45,Monday,College,Evening,Hot,Long,Water_Bottle,0.45,0.925,12,1,0
45,Monday,College,Evening,Hot,Long,Wallet,0.95,0.792,6,0,0
45,Monday,College,Evening,Hot,Long,Keys,0.93,0.674,11,0,1
46,Sunday,Office,Afternoon,Rainy,Medium,ID_Card,0.9,0.958,19,0,0
46,Sunday,Office,Afternoon,Rainy,Medium,Phone,0.98,0.839,9,0,0
46,Sunday,Office,Afternoon,Rainy,Medium,Laptop,0.8,0.922,16,1,0
46,Sunday,Office,Afternoon,Rainy,Medium,Earphones,0.4,0.307,5,1,1
46,Sunday,Office,Afternoon,Rainy,Medium,Charger,0.55,0.839,7,0,0
46,Sunday,Office,Afternoon,Rainy,Medium,Water_Bottle,0.45,0.436,7,2,1
46,Sunday,Office,Afternoon,Rainy,Medium,Wallet,0.95,0.79,12,0,0
47,Thursday,Friends_House,Morning,Rainy,Short,Water_Bottle,0.45,0.296,7,0,0
47,Thursday,Friends_House,Morning,Rainy,Short,Phone,0.98,0.896,6,0,0
47,Thursday,Friends_House,Morning,Rainy,Short,Wallet,0.95,0.505,9,0,0
47,Thursday,Friends_House,Morning,Rainy,Short,Charger,0.55,0.383,3,0,1
47,Thursday,Friends_House,Morning,Rainy,Short,Earphones,0.4,0.409,8,1,1
48,Sunday,Travel,Evening,Cloudy,Medium,Charger,0.55,0.933,15,1,0
48,Sunday,Travel,Evening,Cloudy,Medium,Laptop,0.8,0.564,9,2,1
48,Sunday,Travel,Evening,Cloudy,Medium,Phone,0.98,0.989,19,0,0
48,Sunday,Travel,Evening,Cloudy,Medium,Wallet,0.95,0.894,13,1,1
48,Sunday,Travel,Evening,Cloudy,Medium,ID_Card,0.9,0.99,6,0,0
49,Friday,Other,Night,Rainy,Short,Notebook,0.5,0.223,3,2,1
49,Friday,Other,Night,Rainy,Short,Umbrella,0.35,0.911,14,3,0
49,Friday,Other,Night,Rainy,Short,Keys,0.93,0.619,13,0,1
49,Friday,Other,Night,Rainy,Short,Wallet,0.95,0.541,6,0,1
49,Friday,Other,Night,Rainy,Short,Phone,0.98,0.832,12,0,0
50,Saturday,Travel,Evening,Hot,Short,Earphones,0.4,0.655,11,0,0
50,Saturday,Travel,Evening,Hot,Short,Wallet,0.95,0.818,12,0,0
50,Saturday,Travel,Evening,Hot,Short,Charger,0.55,0.983,12,2,0
50,Saturday,Travel,Evening,Hot,Short,Phone,0.98,0.964,14,0,0
51,Saturday,Gym,Night,Cold,Short,Keys,0.93,0.475,10,0,1
51,Saturday,Gym,Night,Cold,Short,Water_Bottle,0.45,0.851,14,0,0
51,Saturday,Gym,Night,Cold,Short,Wallet,0.95,0.238,6,0,0
51,Saturday,Gym,Night,Cold,Short,Earphones,0.4,0.839,11,0,0
51,Saturday,Gym,Night,Cold,Short,Phone,0.98,0.706,11,0,0
51,Saturday,Gym,Night,Cold,Short,Notebook,0.5,0.019,1,1,1
52,Tuesday,Friends_House,Night,Cloudy,Long,Notebook,0.5,0.06,4,0,0
52,Tuesday,Friends_House,Night,Cloudy,Long,Phone,0.98,0.819,10,0,0
52,Tuesday,Friends_House,Night,Cloudy,Long,Umbrella,0.35,0.59,12,2,0
52,Tuesday,Friends_House,Night,Cloudy,Long,ID_Card,0.9,0.143,10,0,0
52,Tuesday,Friends_House,Night,Cloudy,Long,Laptop,0.8,0.182,10,0,1
52,Tuesday,Friends_House,Night,Cloudy,Long,Charger,0.55,0.438,9,1,0
53,Wednesday,Other,Afternoon,Sunny,Medium,Keys,0.93,0.56,9,0,1
53,Wednesday,Other,Afternoon,Sunny,Medium,Laptop,0.8,0.278,3,0,0
53,Wednesday,Other,Afternoon,Sunny,Medium,Wallet,0.95,0.6,11,0,1
53,Wednesday,Other,Afternoon,Sunny,Medium,Phone,0.98,0.829,10,0,0
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Earphones,0.4,0.352,11,0,0
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Umbrella,0.35,0.831,11,2,0
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Charger,0.55,0.272,12,1,0
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Laptop,0.8,0.209,4,1,1
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Wallet,0.95,0.522,9,0,0
54,Thursday,Friends_House,Afternoon,Rainy,Medium,Phone,0.98,0.81,17,0,0
55,Thursday,Other,Afternoon,Sunny,Short,Keys,0.93,0.541,8,0,0
55,Thursday,Other,Afternoon,Sunny,Short,Charger,0.55,0.352,8,0,1
55,Thursday,Other,Afternoon,Sunny,Short,Earphones,0.4,0.312,5,2,0
55,Thursday,Other,Afternoon,Sunny,Short,Wallet,0.95,0.543,9,0,0
56,Monday,Friends_House,Night,Sunny,Medium,Keys,0.93,0.612,12,0,0
56,Monday,Friends_House,Night,Sunny,Medium,Phone,0.98,0.85,7,0,1
56,Monday,Friends_House,Night,Sunny,Medium,Charger,0.55,0.358,5,0,1
57,Thursday,Family_Event,Morning,Cloudy,Long,Umbrella,0.35,0.524,13,3,1
57,Thursday,Family_Event,Morning,Cloudy,Long,Water_Bottle,0.45,0.275,6,1,0
57,Thursday,Family_Event,Morning,Cloudy,Long,Phone,0.98,0.765,15,0,0
57,Thursday,Family_Event,Morning,Cloudy,Long,ID_Card,0.9,0.294,6,1,0
58,Tuesday,College,Afternoon,Hot,Long,ID_Card,0.9,0.9,16,0,1
58,Tuesday,College,Afternoon,Hot,Long,Phone,0.98,0.955,13,0,0
58,Tuesday,College,Afternoon,Hot,Long,Notebook,0.5,0.792,9,1,0
58,Tuesday,College,Afternoon,Hot,Long,Charger,0.55,0.914,9,0,1
58,Tuesday,College,Afternoon,Hot,Long,Water_Bottle,0.45,0.897,18,0,0
58,Tuesday,College,Afternoon,Hot,Long,Umbrella,0.35,0.138,4,2,1
58,Tuesday,College,Afternoon,Hot,Long,Laptop,0.8,0.961,6,0,0
59,Saturday,Friends_House,Evening,Sunny,Medium,Notebook,0.5,0.083,5,4,0
59,Saturday,Friends_House,Evening,Sunny,Medium,Wallet,0.95,0.512,6,0,0
59,Saturday,Friends_House,Evening,Sunny,Medium,Water_Bottle,0.45,0.341,11,1,0
59,Saturday,Friends_House,Evening,Sunny,Medium,Phone,0.98,0.886,10,0,0
59,Saturday,Friends_House,Evening,Sunny,Medium,Earphones,0.4,0.394,6,0,1
60,Friday,Gym,Morning,Sunny,Long,Keys,0.93,0.431,6,0,0
60,Friday,Gym,Morning,Sunny,Long,Earphones,0.4,0.792,13,1,1
61,Sunday,Shopping,Evening,Sunny,Medium,Laptop,0.8,0.093,2,1,1
61,Sunday,Shopping,Evening,Sunny,Medium,Water_Bottle,0.45,0.305,7,3,0
61,Sunday,Shopping,Evening,Sunny,Medium,Wallet,0.95,0.911,10,0,0
62,Saturday,Travel,Afternoon,Cold,Medium,Charger,0.55,0.828,14,2,0
62,Saturday,Travel,Afternoon,Cold,Medium,Keys,0.93,0.346,8,0,1
62,Saturday,Travel,Afternoon,Cold,Medium,Phone,0.98,0.967,23,0,0
62,Saturday,Travel,Afternoon,Cold,Medium,Earphones,0.4,0.591,11,1,0
62,Saturday,Travel,Afternoon,Cold,Medium,Umbrella,0.35,0.317,2,1,0
62,Saturday,Travel,Afternoon,Cold,Medium,ID_Card,0.9,0.948,23,0,0
63,Wednesday,Other,Night,Rainy,Long,Keys,0.93,0.643,8,0,0
63,Wednesday,Other,Night,Rainy,Long,Phone,0.98,0.791,13,0,0
63,Wednesday,Other,Night,Rainy,Long,ID_Card,0.9,0.396,9,0,1
63,Wednesday,Other,Night,Rainy,Long,Laptop,0.8,0.365,4,3,1
63,Wednesday,Other,Night,Rainy,Long,Umbrella,0.35,0.828,12,2,0
64,Sunday,Other,Evening,Sunny,Short,Phone,0.98,0.821,13,0,0
65,Wednesday,Office,Morning,Sunny,Short,Keys,0.93,0.59,7,0,1
65,Wednesday,Office,Morning,Sunny,Short,Charger,0.55,0.786,13,2,0
65,Wednesday,Office,Morning,Sunny,Short,Phone,0.98,0.96,19,1,0
65,Wednesday,Office,Morning,Sunny,Short,ID_Card,0.9,0.726,11,0,0
65,Wednesday,Office,Morning,Sunny,Short,Notebook,0.5,0.605,8,1,0
65,Wednesday,Office,Morning,Sunny,Short,Laptop,0.8,0.916,12,0,0
66,Wednesday,Friends_House,Evening,Rainy,Short,Water_Bottle,0.45,0.281,8,3,1
66,Wednesday,Friends_House,Evening,Rainy,Short,Umbrella,0.35,0.814,11,1,0
66,Wednesday,Friends_House,Evening,Rainy,Short,Phone,0.98,0.895,10,0,0
67,Sunday,Friends_House,Morning,Sunny,Medium,Notebook,0.5,0.08,4,3,1
67,Sunday,Friends_House,Morning,Sunny,Medium,Phone,0.98,0.794,16,0,0
67,Sunday,Friends_House,Morning,Sunny,Medium,Charger,0.55,0.381,8,2,1
68,Wednesday,Office,Afternoon,Rainy,Medium,Notebook,0.5,0.638,9,1,0
68,Wednesday,Office,Afternoon,Rainy,Medium,Umbrella,0.35,0.845,16,1,0
68,Wednesday,Office,Afternoon,Rainy,Medium,Keys,0.93,0.545,13,0,0
68,Wednesday,Office,Afternoon,Rainy,Medium,Phone,0.98,0.879,15,0,0
68,Wednesday,Office,Afternoon,Rainy,Medium,Wallet,0.95,0.719,18,0,0
68,Wednesday,Office,Afternoon,Rainy,Medium,ID_Card,0.9,0.855,9,1,1
68,Wednesday,Office,Afternoon,Rainy,Medium,Laptop,0.8,0.847,8,3,1
